name,birth_date,space_flight,space_walks,mission,company_name,location,datum,status_mission
Michael Collins,1930-10-31,266,1.0,Apollo11,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1969-07-16 09:32:00-04,Success
Neil A. Armstrong,1930-08-05,205,2.0,Apollo11,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1969-07-16 09:32:00-04,Success
Buzz Aldrin,1930-01-20,289,8.0,Apollo11,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1969-07-16 09:32:00-04,Success
John W. Young,1930-09-24,835,20.0,Apollo10,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1969-05-18 12:49:00-04,Success
Thomas P. Stafford,1930-09-17,507,0.0,Apollo10,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1969-05-18 12:49:00-04,Success
John W. Young,1930-09-24,835,20.0,Apollo10,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1969-05-18 12:49:00-04,Success
Thomas P. Stafford,1930-09-17,507,0.0,Apollo10,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1969-05-18 12:49:00-04,Success
Eugene A. Cernan,1934-03-14,566,24.0,Apollo10,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1969-05-18 12:49:00-04,Success
David R. Scott,1932-06-06,546,19.0,Apollo9,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1969-03-03 11:00:00-05,Success
James A. McDivitt,1929-06-10,338,0.0,Apollo9,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1969-03-03 11:00:00-05,Success
Russell L. Schweickart,1935-10-25,241,1.0,Apollo9,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1969-03-03 11:00:00-05,Success
James A. Lovell Jr. ,1928-03-25,715,0.0,Apollo8,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1968-12-21 07:51:00-05,Success
James A. Lovell Jr. ,1928-03-25,715,0.0,Apollo8,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1968-12-21 07:51:00-05,Success
Frank Borman,1928-03-14,477,0.0,Apollo8,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1968-12-21 07:51:00-05,Success
William A. Anders,1933-10-17,147,0.0,Apollo8,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1968-12-21 07:51:00-05,Success
