name,birth_date,space_flight,space_walks,mission,company_name,location,datum,status_mission
Albert Sacco Jr.,1949-05-03,381,0.0,STS-73,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1995-10-20 09:53:00-04,Success
Kent V. Rominger,1956-08-07,1611,0.0,STS-73,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1995-10-20 09:53:00-04,Success
Michael E. Lopez-Alegria,1958-05-30,6190,67.0,STS-73,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1995-10-20 09:53:00-04,Success
Fred W. Leslie,1951-12-19,381,0.0,STS-73,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1995-10-20 09:53:00-04,Success
Catherine G. Coleman,1960-12-14,4324,0.0,STS-73,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1995-10-20 09:53:00-04,Success
Michael L. Gernhardt,1956-05-04,1039,23.0,STS-69,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1995-09-07 11:09:00-04,Success
Mary E. Weber,1962-08-24,450,0.0,STS-70,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1995-07-13 09:41:00-04,Success
Kevin R. Kregel,1956-09-16,1265,0.0,STS-70,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1995-07-13 09:41:00-04,Success
Wendy B. Lawrence,1959-07-02,1223,0.0,STS-67,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1995-03-02 01:38:00-05,Success
John M. Grunsfeld,1958-10-10,1407,58.0,STS-67,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1995-03-02 01:38:00-05,Success
William G. Gregory,1957-05-14,399,0.0,STS-67,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1995-03-02 01:38:00-05,Success
Eileen M. Collins,1959-11-19,890,0.0,STS-63,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1995-02-03 00:22:00-05,Success
Joseph R. Tanner,1950-01-21,1045,46.0,STS-66,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1994-11-03 11:59:00-05,Success
Scott E. Parazynski,1961-07-28,1404,47.0,STS-66,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1994-11-03 11:59:00-05,Success
Terrence W. Wilcutt,1949-10-31,1008,0.0,STS-68,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1994-09-30 07:16:00-04,Success
Steven L. Smith,1958-12-30,960,49.0,STS-68,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1994-09-30 07:16:00-04,Success
Jerry M. Linenger,1955-01-16,3435,5.0,STS-64,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1994-09-09 18:22:00-04,Success
Donald A. Thomas,1955-05-06,1040,0.0,STS-65,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1994-07-08 00:43:00-04,Success
James D. Halsell Jr. ,1956-09-29,1258,0.0,STS-65,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1994-07-08 00:43:00-04,Success
Leroy Chiao,1960-08-28,5503,36.0,STS-65,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1994-07-08 00:43:00-04,Success
Thomas D. Jones,1955-01-22,1272,20.0,STS-59,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1994-04-09 07:05:00-04,Success
Ronald M. Sega,1952-12-04,420,0.0,STS-60,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1994-02-03 07:10:00-05,Success
David A. Wolf,1956-08-23,4044,41.0,STS-58,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-10-18 10:53:00-04,Success
Richard A. Searfoss,1956-06-05,939,0.0,STS-58,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-10-18 10:53:00-04,Success
William S. McArthur Jr. ,1951-07-26,5398,24.0,STS-58,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-10-18 10:53:00-04,Success
Martin J. Fettman,1956-12-31,336,0.0,STS-58,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-10-18 10:53:00-04,Success
Carl E. Walz,1955-09-06,5533,19.0,STS-51,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-09-12 07:45:00-04,Success
James H. Newman,1956-10-16,1042,43.0,STS-51,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-09-12 07:45:00-04,Success
Daniel W. Bursch,1957-07-25,5446,12.0,STS-51,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-09-12 07:45:00-04,Success
Peter J. K. Wisoff,1958-08-16,1064,20.0,STS-57,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-06-21 09:07:00-04,Success
Janice E. Voss,1956-10-08,1179,0.0,STS-57,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-06-21 09:07:00-04,Success
Nancy J. Currie,1958-12-29,999,0.0,STS-57,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-06-21 09:07:00-04,Success
Charles J. Precourt,1955-06-29,950,0.0,STS-55,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1993-04-26 10:50:00-04,Success
Bernard A. Harris Jr. ,1956-06-26,438,5.0,STS-55,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1993-04-26 10:50:00-04,Success
Ellen Ochoa,1958-05-10,979,0.0,STS-56,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-04-08 01:29:00-04,Success
Kenneth D. Cockrell,1950-04-09,1548,0.0,STS-56,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-04-08 01:29:00-04,Success
Susan J. Helms,1958-02-26,5063,9.0,STS-54,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-01-13 08:59:00-05,Success
Michael R. Clifford,1952-10-13,666,6.0,STS-53,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1992-12-02 08:24:00-05,Success
Mae C. Jemison,1956-10-17,190,0.0,STS-47,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1992-09-12 10:23:00-04,Success
N. Jan Davis,1953-11-01,673,0.0,STS-47,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1992-09-12 10:23:00-04,Success
Curtis L. Brown Jr. ,1956-03-11,1383,0.0,STS-47,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1992-09-12 10:23:00-04,Success
Andrew M. Allen,1955-08-04,906,0.0,STS-46,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1992-07-31 09:56:00-04,Success
Lawrence J. Delucas,1950-07-11,331,0.0,STS-50,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1992-06-25 12:12:00-04,Success
Kenneth D. Bowersox,1956-11-14,5078,13.0,STS-50,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1992-06-25 12:12:00-04,Success
Kevin P. Chilton,1954-03-11,700,0.0,STS-49,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1992-05-07 19:40:00-04,Success
C. Michael Foale,1957-01-06,8970,22.0,STS-45,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1992-03-24 08:13:00-05,Success
Brian Duffy,1953-06-20,977,0.0,STS-45,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1992-03-24 08:13:00-05,Success
William F. Readdy,1952-01-24,672,0.0,STS-42,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1992-01-22 09:52:00-05,Success
Stephen S. Oswald,1951-06-30,814,0.0,STS-42,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1992-01-22 09:52:00-05,Success
James S. Voss,1949-03-03,4853,22.0,STS-44,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-11-24 18:44:00-05,Success
Mario Runco Jr. ,1952-01-26,551,0.0,STS-44,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-11-24 18:44:00-05,Success
Terence T. Henricks,1952-07-05,1026,0.0,STS-44,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-11-24 18:44:00-05,Success
Thomas J. Hennen,1952-08-17,166,0.0,STS-44,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-11-24 18:44:00-05,Success
Kenneth S. Reightler Jr. ,1951-03-24,327,0.0,STS-48,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-09-12 19:11:00-04,Success
Michael A. Baker,1953-10-27,965,0.0,STS-43,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-08-02 11:02:00-04,Success
Tamara E. Jernigan,1959-05-07,1489,8.0,STS-40,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1991-06-05 09:24:00-04,Success
Millie Hughes-Fulford,1945-12-21,218,0.0,STS-40,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1991-06-05 09:24:00-04,Success
